ocid,id,quantity,description,unit_name,unit_scheme,unit_amount,unit_currency,classification_id,classification_scheme
ocds-5wno2w-CE-20200001858541-93666,8872-PE-C,12150,Levotiroxina sódica,,,0.02,USD,3525011257,CPC
ocds-5wno2w-CE-20200001858542-93666,7447-PE-C,25680,Amoxicilina + Ácido clavulánico,,,0.0799,USD,3525011044,CPC
ocds-5wno2w-CE-20200001858543-93666,8976-PE-C,8040,Simvastatina,,,0.00964,USD,3525011356,CPC
ocds-5wno2w-CE-20200001858545-93666,7350-PE-C,2400,Cotrimoxazol (Sulfametoxazol + Trimetoprima),,,0.021,USD,3525011139,CPC
ocds-5wno2w-CE-20200001858546-93666,7110-PE-C,5370,Enalapril,,,0.002,USD,3525011169,CPC
ocds-5wno2w-CE-20200001858547-93666,10037-PE-C,16128,Furosemida,,,0.0094,USD,3525015127,CPC
ocds-5wno2w-CE-20200001858548-93666,10040-PE-C,11940,Quetiapina,,,0.03671,USD,3525015253,CPC
ocds-5wno2w-CE-20200001858565-102915,7479-PE-C,25,CHALECO MULTIFUNCIÓN,,,27.33,USD,881220014,CPC
ocds-5wno2w-CE-20200001858566-110960,13394-PE-C,4,NEUMATICO 295/80R22.5 152/148K DIRECCION APLICACION SERVICIO SEVERO TRACCION,,,571.9,USD,36113001116,CPC
ocds-5wno2w-CE-20200001858567-41357,6647-PE-C,114210,"SERVICIO DE MANTENIMIENTO DE AREAS VERDES Y JARDINES (PARQUES, PLAZAS, REDONDELES, PARTERRES)",,,0.07,USD,964210112,CPC
ocds-5wno2w-CE-20200001858568-410205,12889-PE-C,396,DESINFECTANTE AMONIO CUATERNARIO GALÓN*,,,3.155,USD,0,No Scheme
ocds-5wno2w-CE-20200001858569-889479,7360-PE-C,4320,Oxicodona,,,0.4195,USD,3525011312,CPC
ocds-5wno2w-CE-20200001858570-889479,7448-PE-C,1440,Ciclosporina,,,0.335,USD,3525011096,CPC
ocds-5wno2w-CE-20200001858571-889479,7317-PE-C,480,Ciclosporina,,,0.94,USD,3525011098,CPC
ocds-5wno2w-CE-20200001858572-889479,7451-PE-C,960,Ciclosporina,,,0.5,USD,3525011097,CPC
ocds-5wno2w-CE-20200001858573-889479,8735-PE-C,8440,Morfina,,,0.78,USD,3525011297,CPC
ocds-5wno2w-CE-20200001858574-889479,10045-PE-C,690,Imatinib,,,2.19,USD,3525015147,CPC
ocds-5wno2w-CE-20200001858575-889479,10032-PE-C,1800,Imatinib,,,0.89,USD,3525015146,CPC
ocds-5wno2w-CE-20200001858576-889479,10034-PE-C,1316,Deferasirox 500 mg,,,5.0,USD,3525011145,CPC
ocds-5wno2w-CE-20200001858580-889479,7197-PE-C,560,Sunitinib,,,109.97,USD,3525011368,CPC
ocds-5wno2w-CE-20200001858581-110960,13394-PE-C,2,NEUMATICO 295/80R22.5 152/148K DIRECCION APLICACION SERVICIO SEVERO TRACCION,,,571.9,USD,36113001116,CPC
ocds-5wno2w-CE-20200001858582-141370,12888-PE-C,5,DESINFECTANTE AMONIO CUATERNARIO CANECA*,,,19.39,USD,0,No Scheme
ocds-5wno2w-CE-20200001858583-141370,12876-PE-C,3,"CLORO LIQUIDO AL 5 POR CIENTO, CANECA*",,,15.94,USD,0,No Scheme
ocds-5wno2w-CE-20200001858584-141370,12954-PE-C,4,"HIPOCLORITO DE SODIO AL 10 POR CIENTO, CANECA*",,,17.5,USD,0,No Scheme
ocds-5wno2w-CE-20200001858585-141370,12832-PE-C,3,AMBIENTAL CONCENTRADO LIQUIDO CANECA*,,,27.33,USD,0,No Scheme
ocds-5wno2w-CE-20200001858586-141370,12898-PE-C,10,DETERGENTE EN POLVO FUNDA DE 5 KG*,,,9.22,USD,0,No Scheme
ocds-5wno2w-CE-20200001858587-141370,12852-PE-C,10,ATOMIZADOR 500 CC*,,,1.25,USD,0,No Scheme
ocds-5wno2w-CE-20200001858588-141370,12912-PE-C,30,"FUNDA DE BASURA DOMESTICA ROJA 23""X28""*",,,1.09,USD,0,No Scheme
ocds-5wno2w-CE-20200001858589-140772,11384-PE-C,1,TACHUELAS DE COLORES CAJA 100 UNIDADES*,,,0.4,USD,0,No Scheme
ocds-5wno2w-CE-20200001858590-140772,11391-PE-C,6,TINTA CORRECTORA TIPO ESFERO*,,,0.29,USD,0,No Scheme
ocds-5wno2w-CE-20200001858591-140772,11162-PE-C,150,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,,,1.0,USD,0,No Scheme
ocds-5wno2w-CE-20200001858592-140772,11204-PE-C,6,CLIPS STANDAR 43 MM METALICOS*,,,0.4,USD,0,No Scheme
ocds-5wno2w-CE-20200001858593-140772,11382-PE-C,3,TABLA PARA APUNTES (APOYAMANOS) MADERA*,,,0.9,USD,0,No Scheme
ocds-5wno2w-CE-20200001858594-140772,11299-PE-C,6,CINTA ADHESIVA TRANSPARENTE 18 X 25 YDAS*,,,0.15,USD,0,No Scheme
ocds-5wno2w-CE-20200001858595-140772,11201-PE-C,9,CLIPS STANDAR 25 MM METALICOS*,,,0.24,USD,0,No Scheme
ocds-5wno2w-CE-20200001858596-140772,11377-PE-C,1,SOBRE PARA CD PAQUETE X 100 UNIDADES*,,,3.4,USD,0,No Scheme
ocds-5wno2w-CE-20200001858597-140772,11217-PE-C,36,ESFEROGRAFICO AZUL PUNTA MEDIA*,,,0.15,USD,0,No Scheme
ocds-5wno2w-CE-20200001858598-140772,11293-PE-C,3,MARCADOR PERMANENTE ROJO PUNTA GRUESA*,,,0.55,USD,0,No Scheme
