DESCRIPCION SECTOR,NOMBRE ENTIDAD
ADMINISTRACION DEL ESTADO,ASAMBLEA NACIONAL
ADMINISTRACION DEL ESTADO,PARLAMENTO ANDINO (OFICINA NACIONAL) 
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOS RIOS
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DE MANABI
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - MORONA SANTIAGO
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA NAPO
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA PASTAZA
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA PICHINCHA
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA TUNGURAHUA
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA ZAMORA
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GALAPAGOS
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA SUCUMBIOS
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DE ORELLANA
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DE SANTO DOMINGO DE LOS TSACHILAS
ADMINISTRACION DEL ESTADO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DISTRITO SANTA ELENA
ADMINISTRACION DEL ESTADO,CONSEJO DE LA JUDICATURA - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,DEFENSORIA PUBLICA PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,PRESIDENCIA DE LA REPUBLICA - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,VICEPRESIDENCIA DE LA REPUBLICA
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 1 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 2 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 3 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 4 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 5 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 6 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 7 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 9 DEL SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS
ADMINISTRACION DEL ESTADO,SERVICIO NACIONAL DE GESTION DE RIESGOS Y EMERGENCIAS- PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,SECRETARIA TECNICA ECUADOR CRECE SIN DESNUTRICION INFANTIL 
ADMINISTRACION DEL ESTADO,SERVICIO NACIONAL DE CONTRATACION PUBLICA - SERCOP 
ADMINISTRACION DEL ESTADO,CONSEJO DE GOBIERNO DEL REGIMEN ESPECIAL DE GALAPAGOS
ADMINISTRACION DEL ESTADO,CONSEJO NACIONAL DE COMPETENCIAS
ADMINISTRACION DEL ESTADO,AGENCIA DE REGULACION Y CONTROL DE LA BIOSEGURIAD Y CUARENTENA PARA GALAPAGOS
ADMINISTRACION DEL ESTADO,SECRETARIA TECNICA DEL COMITE DE PREVENCION DE ASENTAMIENTOS HUMANOS IRREGULARES
ADMINISTRACION DEL ESTADO,GOBERNACION DEL AZUAY
ADMINISTRACION DEL ESTADO,GOBERNACION DEL BOLIVAR
ADMINISTRACION DEL ESTADO,GOBERNACION DEL CANAR
ADMINISTRACION DEL ESTADO,GOBERNACION DEL CARCHI
ADMINISTRACION DEL ESTADO,GOBERNACION DEL COTOPAXI
ADMINISTRACION DEL ESTADO,GOBERNACION DEL CHIMBORAZO
ADMINISTRACION DEL ESTADO,GOBERNACION DE EL ORO
ADMINISTRACION DEL ESTADO,GOBERNACION DE ESMERALDAS
ADMINISTRACION DEL ESTADO,GOBERNACION DE GUAYAS
ADMINISTRACION DEL ESTADO,GOBERNACION DE IMBABURA
ADMINISTRACION DEL ESTADO,GOBERNACION DE LOJA
ADMINISTRACION DEL ESTADO,GOBERNACION DE LOS RIOS
ADMINISTRACION DEL ESTADO,GOBERNACION DE MANABI
ADMINISTRACION DEL ESTADO,GOBERNACION DE MORONA SANTIAGO
ADMINISTRACION DEL ESTADO,GOBERNACION DE NAPO
ADMINISTRACION DEL ESTADO,GOBERNACION DE PASTAZA
ADMINISTRACION DEL ESTADO,GOBERNACION DE TUNGURAHUA
ADMINISTRACION DEL ESTADO,GOBERNACION DE ZAMORA CHINCHIPE
ADMINISTRACION DEL ESTADO,GOBERNACION DE SUCUMBIOS
ADMINISTRACION DEL ESTADO,GOBERNACION DE ORELLANA
ADMINISTRACION DEL ESTADO,GOBERNACION DE SANTO DOMINGO DE LOS TSACHILAS
ADMINISTRACION DEL ESTADO,GOBERNACION DE SANTA ELENA
ADMINISTRACION DEL ESTADO,MINISTERIO DE GOBIERNO - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 6 DIGERCIC
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 7 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 4 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 1 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 2 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 3 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 5 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 8 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 9 DEL REGISTRO CIVIL IDENTIFICACION Y CEDULACION
ADMINISTRACION DEL ESTADO,DIRECCION GENERAL DE REGISTRO CIVIL  IDENTIFICACION Y CEDULACION - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,DISTRITO METROPOLITANO DE QUITO
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE BIENESTAR SOCIAL
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL ANTINARCOTICOS
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE POLICIA ESPECIALIZADA PARA NINOS NINAS Y ADOLESCENTES DINAPEN
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE COMUNICACIONES
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE EDUCACION
ADMINISTRACION DEL ESTADO,DIRECCION GENERAL DE INTELIGENCIA
ADMINISTRACION DEL ESTADO,UNIDAD DE LUCHA CONTRA EL CRIMEN ORGANIZADO
ADMINISTRACION DEL ESTADO,CP-1 COMANDO PROVINCIAL PICHINCHA No. 1
ADMINISTRACION DEL ESTADO,COMANDO PROVINCIAL SANTO DOMINGO DE LOS TSACHILAS
ADMINISTRACION DEL ESTADO,CP-1 UNIDAD VIGILANCIA CENTRO OCCIDENTE
ADMINISTRACION DEL ESTADO,CP-1  UNIDAD VIGILANCIA NORTE
ADMINISTRACION DEL ESTADO,CP-1 UNIDAD VIGILANCIA QUITUMBE
ADMINISTRACION DEL ESTADO,CP- 1 UNIDAD VIGILANCIA SUR
ADMINISTRACION DEL ESTADO,CP 10 COMANDO PROVINCIAL CARCHI
ADMINISTRACION DEL ESTADO,CP 12 COMANDO PROVINCIAL IMBABURA
ADMINISTRACION DEL ESTADO,COMANDO PROVINCIAL DE POLICIA ESMERALDAS No 14
ADMINISTRACION DEL ESTADO,CP 20 COMANDO PROVINCIAL NAPO
ADMINISTRACION DEL ESTADO,CP 21 COMANDO PROVINCIAL SUCUMBIOS 
ADMINISTRACION DEL ESTADO,CP 22 COMANDO PROVINCIAL ORELLANA
ADMINISTRACION DEL ESTADO,ESCUELA SAN PABLO DEL LAGO
ADMINISTRACION DEL ESTADO,ESCUELA JOSE EMILIO CASTILLO S
ADMINISTRACION DEL ESTADO,INSTITUTO SUPERIOR TECNOLOGICO POLICIA NACIONAL
ADMINISTRACION DEL ESTADO,CP 5 COMANDO PROVINCIAL CHIMBORAZO
ADMINISTRACION DEL ESTADO,CP 11 COMANDO PROVINCIAL BOLIVAR
ADMINISTRACION DEL ESTADO,CP 13 COMANDO PROVINCIAL COTOPAXI
