procuringEntity_name,Sector,NF003,NF010,NF016,NF018,NF026,NF027,NF031,NF042,NF044,NF047,NF059,NF061,NF062,NF063,RF cases,Total cases,Total RF,Relacion contratos,Densidad RF
ACCION SOCIAL COMO ENTIDAD DE INCLUSION SOCIAL MUNICIPAL DEL GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON GUARANDA,GAD Parroquial,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA (A.N.D.E.C.),Comercio,2,0,0,0,1,1,0,2,0,3,1,1,2,0,6,9,13,0.6666666666666666,2.1666666666666665
AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO,Agricultura y Ganaderia,0,0,0,0,0,0,0,24,0,49,0,0,0,0,57,109,73,0.5229357798165137,1.280701754385965
"AGENCIA NACIONAL DE REGULACION, CONTROL Y VIGILANCIA SANITARI",Seguridad,0,0,0,0,0,0,0,3,0,6,0,0,0,0,8,11,9,0.7272727272727273,1.125
"AGENCIA NACIONAL DE REGULACIÓN Y CONTROL DEL TRANSPORTE TERRESTRE, TRÁNSITO Y SEGURIDAD VIAL",Transporte,2,0,0,0,1,0,0,1,0,2,0,0,2,0,2,2,8,1.0,4.0
AGRUPAMIENTO DE COMUNICACIONES Y GUERRA ELECTRONICA,Telecomunicaciones,0,0,0,0,0,0,0,5,0,10,0,0,0,0,13,15,15,0.8666666666666667,1.1538461538461537
ARCONEL - AGENCIA DE REGULACIÓN Y CONTROL DE ELECTRICIDAD,Electrico,0,0,0,0,0,0,0,1,0,5,0,0,0,0,6,6,6,1.0,1.0
ASAMBLEA NACIONAL,Legislativo,1,0,0,0,1,0,0,1,0,2,0,0,1,0,2,2,6,1.0,3.0
ASOCIACION DE MUNICIPALIDADES ECUATORIANAS,Gobierno Municipal,1,0,0,0,1,1,0,2,0,10,0,0,0,1,11,12,15,0.9166666666666666,1.3636363636363635
ASOCIACION SOLIDARIDAD Y ACCION ASA,Bienestar Social,0,0,0,0,0,0,0,12,0,7,0,0,0,0,13,24,19,0.5416666666666666,1.4615384615384615
"ASOCIACIÓN DE PRODUCCIÓN PESQUERA DE BUNCHE ""ASOPESBUNCHE""",Agricultura y Ganaderia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
ASTILLEROS NAVALES ECUATORIANOS - ASTINAVE EP  -,Transporte,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,10,5,0.4,1.25
AUTORIDAD AEROPORTUARIA DE GUAYAQUIL FUNDACION DE LA M.I MUNICIPALIDAD DE GUAYAQUIL,Transporte,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,18,15,0.8333333333333334,1.0
AUTORIDAD PORTUARIA DE GUAYAQUIL,Transporte,0,0,0,0,0,1,0,5,0,8,0,0,0,1,8,16,14,0.5,1.75
AUTORIDAD PORTUARIA DE MANTA,Transporte,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
AUTORIDAD PORTUARIA DE PUERTO BOLIVAR,Transporte,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,4,4,0.75,1.3333333333333333
AUTORIDAD PORTUARIA ESMERALDAS,Transporte,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0.75,1.0
ASOCACION DE JUNTAS PARROQUIAL GALAPAGOS,Gobierno Parroquial,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
BANCO CENTRAL DEL ECUADOR ,Financiero,0,0,0,1,0,1,0,2,0,3,0,0,0,0,3,4,7,0.75,2.3333333333333335
BANCO DE DESARROLLO DEL ECUADOR B.P.,Financiero,1,0,0,0,1,1,0,2,0,3,0,0,0,0,4,6,8,0.6666666666666666,2.0
