,procuringEntity_name,NF003,NF010,NF011,NF016,NF018,NF019,NF026,NF027,NF031,NF042,NF044,NF047,NF059,NF061,NF062,NF063
0,ACCION SOCIAL COMO ENTIDAD DE INCLUSION SOCIAL MUNICIPAL DEL GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON GUARANDA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA (A.N.D.E.C.),2,8,0,0,0,1,1,1,0,2,0,3,1,1,2,0
2,AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO,0,1,0,0,0,0,0,0,0,24,0,49,0,0,0,0
3,"AGENCIA NACIONAL DE REGULACION, CONTROL Y VIGILANCIA SANITARI",0,1,0,0,0,0,0,0,0,3,0,6,0,0,0,0
4,"AGENCIA NACIONAL DE REGULACIÓN Y CONTROL DEL TRANSPORTE TERRESTRE, TRÁNSITO Y SEGURIDAD VIAL",2,2,0,0,0,1,1,0,0,1,0,2,0,0,2,0
5,AGRUPAMIENTO DE COMUNICACIONES Y GUERRA ELECTRONICA,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0
6,ARCONEL - AGENCIA DE REGULACIÓN Y CONTROL DE ELECTRICIDAD,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
7,ASAMBLEA NACIONAL,1,1,0,0,0,1,1,0,0,1,0,2,0,0,1,0
8,ASOCIACION DE MUNICIPALIDADES ECUATORIANAS,1,6,0,0,0,1,1,1,0,2,0,10,0,0,0,1
9,ASOCIACION SOLIDARIDAD Y ACCION ASA,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0
10,"ASOCIACIÓN DE PRODUCCIÓN PESQUERA DE BUNCHE ""ASOPESBUNCHE""",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,ASOCIACIÓN DE PRODUCTORES DE SEMILLAS Y ALIMENTOS NUTRICIONALES ANDINOS MUSHUK YUYAY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ASTILLEROS NAVALES ECUATORIANOS - ASTINAVE EP  -,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0
